Raw file,Experiment,MS count,MS/MS count,MS/MS Submitted count,MS/MS Identified count,MS/MS Identified [%],Peptide Sequences Identified count
20140304_EXQ6_MiBa_SA_MM3-HLAp-1,Mel-3_HLA-I,4522,42013,47507,3076,6.47,2533
20140304_EXQ6_MiBa_SA_MM3-HLAp-2,Mel-3_HLA-I,4522,42470,47924,3302,6.89,2770
20140304_EXQ6_MiBa_SA_MM4-HLAp-1,Mel-4_HLA-I,4637,42753,47727,3172,6.65,2634
20140304_EXQ6_MiBa_SA_MM4-HLAp-2,Mel-4_HLA-I,4640,42491,47663,2105,4.42,1765
20140304_EXQ6_MiBa_SA_MM12-HLAp-1,Mel-12_HLA-I,4651,42761,48921,2256,4.61,1948
20140304_EXQ6_MiBa_SA_MM12-HLAp-2,Mel-12_HLA-I,4690,43519,48626,2299,4.73,2013
20140305_EXQ6_MiBa_SA_MM5-HLAp-1,Mel-5_HLA-I,4696,45221,51206,3744,7.31,3010
20140305_EXQ6_MiBa_SA_MM5-HLAp-2,Mel-5_HLA-I,4754,44983,49863,4030,8.08,3342
20140305_EXQ6_MiBa_SA_MM8-HLAp-1,Mel-8_HLA-I,4784,46320,51223,4224,8.25,3375
20140305_EXQ6_MiBa_SA_MM8-HLAp-2,Mel-8_HLA-I,4840,46638,50827,4693,9.23,3764
20140306_EXQ6_MiBa_SA_MM3-HLAp-1,Mel-3_HLA-I,4564,41715,47400,2934,6.19,2441
20140306_EXQ6_MiBa_SA_MM3-HLAp-2,Mel-3_HLA-I,4623,42164,47500,3106,6.54,2594
20140306_EXQ6_MiBa_SA_MM4-HLAp-1,Mel-4_HLA-I,4501,42048,47370,2918,6.16,2401
20140306_EXQ6_MiBa_SA_MM4-HLAp-2,Mel-4_HLA-I,4621,42466,47405,2078,4.38,1745
20140306_EXQ6_MiBa_SA_MM5-HLAp-1,Mel-5_HLA-I,4707,45362,51631,3587,6.95,2934
20140306_EXQ6_MiBa_SA_MM5-HLAp-2,Mel-5_HLA-I,4736,44222,49241,3639,7.39,3060
20140306_EXQ6_MiBa_SA_MM8-HLAp-1,Mel-8_HLA-I,4704,45796,50813,4158,8.18,3331
20140306_EXQ6_MiBa_SA_MM8-HLAp-2,Mel-8_HLA-I,4871,46684,51060,5203,10.19,4139
20140306_EXQ6_MiBa_SA_MM12-HLAp-1,Mel-12_HLA-I,4596,42843,49309,2348,4.76,2004
20140306_EXQ6_MiBa_SA_MM12-HLAp-2,Mel-12_HLA-I,4608,43482,48983,3087,6.3,2628
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_1_A,Mel-15_HLA-I,7430,60971,68290,12655,18.53,9526
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_1_B,Mel-15_HLA-I,7281,61554,68701,14264,20.76,10531
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_2_A,Mel-15_HLA-I,7383,56837,68660,11376,16.57,8132
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_2_B,Mel-15_HLA-I,6868,59845,68587,13466,19.63,10116
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_3_A,Mel-15_HLA-I,6978,59862,68039,13136,19.31,9780
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_3_B,Mel-15_HLA-I,6940,58846,66726,13075,19.6,9829
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_4_A,Mel-15_HLA-I,6871,58327,65018,11501,17.69,8830
20141208_QEp7_MiBa_SA_HLA-I-p_MM15_4_B,Mel-15_HLA-I,7009,59355,65903,12477,18.93,9525
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_1_A_1,Mel-15_HLA-I,7307,60613,67423,12820,19.01,9693
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_1_B_1,Mel-15_HLA-I,7209,61214,67904,13764,20.27,10168
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_2_A_1,Mel-15_HLA-I,7268,58688,66299,11684,17.62,9072
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_2_B_1,Mel-15_HLA-I,6702,57844,66046,11883,17.99,9118
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_3_A_1,Mel-15_HLA-I,7487,57914,66158,10996,16.62,8547
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_3_B_1,Mel-15_HLA-I,7381,57738,65735,12266,18.66,9491
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_4_A_1,Mel-15_HLA-I,7287,57784,64954,12311,18.95,9593
20141210_QEp7_MiBa_SA_HLA-I-p_MM15_4_B_1,Mel-15_HLA-I,7040,50739,58282,9865,16.93,8231
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_1_A,Mel-16_HLA-I,7585,59372,68352,7041,10.3,5514
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_1_B,Mel-16_HLA-I,7729,59722,67962,6750,9.93,5339
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_2_A,Mel-16_HLA-I,8266,66212,73089,8865,12.13,6692
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_2_B,Mel-16_HLA-I,8354,65489,71992,8654,12.02,6483
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_3_A,Mel-16_HLA-I,8183,63757,71404,8131,11.39,6114
20141212_QEp7_MiBa_SA_HLA-I-p_MM16_3_B,Mel-16_HLA-I,8098,63427,71093,7669,10.79,5820
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_1_A_1,Mel-16_HLA-I,7909,58415,66591,6254,9.39,4927
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_1_B_1,Mel-16_HLA-I,7911,59906,67987,6864,10.1,5339
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_2_A_1,Mel-16_HLA-I,8436,65536,71946,8367,11.63,6392
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_2_B_1,Mel-16_HLA-I,8374,66060,72339,9418,13.02,7054
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_3_A_1,Mel-16_HLA-I,8114,63065,69965,8044,11.5,6180
20141213_QEp7_MiBa_SA_HLA-I-p_MM16_3_B_1,Mel-16_HLA-I,8155,63510,70323,7443,10.58,5764
20141214_QEp7_MiBa_SA_HLA-I-p_MM21_1,Mel-21_HLA-I,7663,57231,65646,7439,11.33,6026
20141214_QEp7_MiBa_SA_HLA-I-p_MM21_2,Mel-21_HLA-I,7506,57132,65764,8225,12.51,6577
20141214_QEp7_MiBa_SA_HLA-I-p_MM21_3,Mel-21_HLA-I,7339,54093,62831,7674,12.21,6297
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_4_1,Mel-27_HLA-I,7850,55278,62400,4215,6.75,3764
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_4_2,Mel-27_HLA-I,7837,56180,63464,3258,5.13,2965
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_4_3,Mel-27_HLA-I,7589,53646,60939,3125,5.13,2842
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_5_1,Mel-28_HLA-I,7745,51747,61104,7360,12.05,5762
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_5-2,Mel-28_HLA-I,7670,51356,60969,7948,13.04,6168
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_18_1,Mel-41_HLA-I,7421,50215,58967,6245,10.59,5093
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_18_2,Mel-41_HLA-I,7331,50353,59417,6039,10.16,4956
20141214_QEp7_MiBa_SA_HLA-I-p_MMf_18_3,Mel-41_HLA-I,7255,49138,58276,6243,10.71,5088
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_1_1,Mel-24_HLA-I,6191,51621,65041,4965,7.63,4369
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_1_2,Mel-24_HLA-I,6061,50558,64926,4604,7.09,4127
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_7_1,Mel-30_HLA-I,7470,45866,55687,6509,11.69,5083
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_7-2,Mel-30_HLA-I,7449,45603,55910,5727,10.24,4584
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_15_1,Mel-38_HLA-I,7422,58596,71052,2944,4.14,2573
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_16_1,Mel-39_HLA-I,7168,59576,71449,9507,13.31,7489
20141215_QEp7_MiBa_SA_HLA-I-p_MMf_16_2,Mel-39_HLA-I,7079,58029,69507,9408,13.54,7463
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_2_1,Mel-25_HLA-I,6226,50761,63920,1789,2.8,1629
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_2_2,Mel-25_HLA-I,6233,50581,63341,1033,1.63,1003
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_3_1,Mel-26_HLA-I,6556,54109,67072,4035,6.02,3549
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_3_2,Mel-26_HLA-I,6615,54719,67984,4607,6.78,3939
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_6_1,Mel-29_HLA-I,6409,52258,63952,4491,7.02,3977
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_6_2,Mel-29_HLA-I,6345,52339,64474,4619,7.16,4107
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_10_1,Mel-33_HLA-I,6992,55739,66065,7635,11.56,6454
20141216_QEp7_MiBa_SA_HLA-I-p_MMf_10_2,Mel-33_HLA-I,6971,55511,65883,7105,10.78,5962
20141217_QEp7_MiBa_SA_HLA-I-p_MMf_13_1,Mel-36_HLA-I,7129,53226,64155,4276,6.67,3822
20141217_QEp7_MiBa_SA_HLA-I-p_MMf_13_2,Mel-36_HLA-I,7169,53001,64124,4275,6.67,3744
20141217_QEp7_MiBa_SA_HLA-I-p_MMf_17_1,Mel-40_HLA-I,8493,44605,63009,1261,2.0,1149
20141217_QEp7_MiBa_SA_HLA-I-p_MMf_17_2,Mel-40_HLA-I,8555,44639,63214,371,0.59,362
20141218_QEp7_MiBa_SA_HLA-I-p_MM_12_1,Mel-12_HLA-I,10797,42678,66228,1075,1.62,940
20141218_QEp7_MiBa_SA_HLA-I-p_MM_12_2,Mel-12_HLA-I,10756,42618,65861,684,1.04,561
20141218_QEp7_MiBa_SA_HLA-I-p_MM_20_1,Mel-20_HLA-I,10720,41780,64091,1159,1.81,976
20141218_QEp7_MiBa_SA_HLA-I-p_MM_20_2,Mel-20_HLA-I,10268,41741,64241,1853,2.88,1467
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_11_1,Mel-34_HLA-I,10029,42729,65326,927,1.42,851
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_11_2,Mel-34_HLA-I,9958,42900,66136,1162,1.76,1052
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_12_1,Mel-35_HLA-I,9105,46104,65367,2411,3.69,2066
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_12_2,Mel-35_HLA-I,9206,46125,65827,2057,3.12,1757
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_19_1,Mel-42_HLA-I,9509,47864,65765,2778,4.22,2521
20141218_QEp7_MiBa_SA_HLA-I-p_MMf_19_2,Mel-42_HLA-I,9734,46129,64685,1924,2.97,1737
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_1,Mel-15_HLA-II,10514,25426,35157,6124,17.42,3893
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_1_1,Mel-15_HLA-II,10330,25457,34851,6275,18.01,3845
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_2,Mel-15_HLA-II,10634,25521,34463,6004,17.42,3912
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_2_1,Mel-15_HLA-II,10625,25647,34307,6147,17.92,3923
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_3,Mel-15_HLA-II,10408,25930,34382,6788,19.74,4233
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_3_1,Mel-15_HLA-II,10457,26030,34208,6851,20.03,4197
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_4,Mel-15_HLA-II,10985,24372,32659,6170,18.89,3783
20141220_QEp7_MiBa_SA_HLA-II-p_MM15_4_1,Mel-15_HLA-II,11360,24128,32569,6006,18.44,3668
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_1,Mel-16_HLA-II,11366,23512,33610,4429,13.18,2666
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_1_1,Mel-16_HLA-II,11201,23855,33965,4437,13.06,2694
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_2,Mel-16_HLA-II,12146,22729,32433,4412,13.6,2586
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_2_1,Mel-16_HLA-II,12027,23057,33063,4467,13.51,2634
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_3,Mel-16_HLA-II,10669,24462,34573,4917,14.22,2998
20141221_QEp7_MiBa_SA_HLA-II-p_MM16_3_1,Mel-16_HLA-II,10665,24630,34614,4978,14.38,3090
20141221_QEp7_MiBa_SA_HLA-II-p_MM21,Mel-21_HLA-II,14516,19145,31027,2136,6.88,1392
20141221_QEp7_MiBa_SA_HLA-II-p_MM21_1,Mel-21_HLA-II,15060,18423,30081,1977,6.57,1271
20141221_QEp7_MiBa_SA_HLA-II-p_MMf_16,Mel-39_HLA-II,12776,21522,33370,3079,9.23,1990
20141221_QEp7_MiBa_SA_HLA-II-p_MMf_16_1,Mel-39_HLA-II,13198,21166,33335,3011,9.03,1894
20141221_QEp7_MiBa_SA_HLA-II-p_MMf_18,Mel-41_HLA-II,15676,17206,27771,1646,5.93,1151
20141221_QEp7_MiBa_SA_HLA-II-p_MMf_18_1,Mel-41_HLA-II,16781,16062,25815,1458,5.65,1011
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_1,Mel-24_HLA-II,12329,22431,36610,1169,3.19,886
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_1_1,Mel-24_HLA-II,12206,22368,36527,1280,3.5,925
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_4,Mel-27_HLA-II,14620,19194,32088,1125,3.51,875
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_4_1,Mel-27_HLA-II,14588,19237,31838,1299,4.08,1003
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_7,Mel-30_HLA-II,15522,17772,32169,227,0.71,198
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_7_1,Mel-30_HLA-II,15718,17375,31614,214,0.68,182
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_13,Mel-36_HLA-II,20970,9959,16990,175,1.03,160
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_13_1,Mel-36_HLA-II,22001,8415,13952,174,1.25,149
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_15,Mel-38_HLA-II,11698,23274,36981,2329,6.3,1558
20141222_QEp7_MiBa_SA_HLA-II-p_MMf_15_1,Mel-38_HLA-II,11801,22982,36771,1950,5.3,1315
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_2,Mel-25_HLA-II,12788,21128,30159,2329,7.72,1752
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_2_1,Mel-25_HLA-II,12631,21349,30662,2266,7.39,1717
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_3,Mel-26_HLA-II,18095,13621,22434,352,1.57,194
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_3_1,Mel-26_HLA-II,18579,12841,21055,381,1.81,206
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_5,Mel-28_HLA-II,13698,20007,28074,1995,7.11,1438
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_5_1,Mel-28_HLA-II,13994,19665,28337,1877,6.62,1347
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_6,Mel-29_HLA-II,17702,14423,22013,1114,5.06,574
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_6_1,Mel-29_HLA-II,16942,15337,22928,1206,5.26,542
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_10,Mel-33_HLA-II,23751,5826,9459,121,1.28,53
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_10_1,Mel-33_HLA-II,24209,5334,8458,147,1.74,54
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_11,Mel-34_HLA-II,21343,9251,16173,3,0.02,3
20141224_QEp7_MiBa_SA_HLA-II-p_MMf_11_1,Mel-34_HLA-II,19975,10853,19197,54,0.28,41
20141225_QEp7_MiBa_SA_HLA-II-p_MM12,Mel-12_HLA-II,25464,3874,6501,0,0.0,0
20141225_QEp7_MiBa_SA_HLA-II-p_MM12_141226122233,Mel-12_HLA-II,25363,4040,6894,1,0.01,1
20141225_QEp7_MiBa_SA_HLA-II-p_MM20,Mel-20_HLA-II,24400,5007,8505,2,0.02,2
20141225_QEp7_MiBa_SA_HLA-II-p_MM20_141226211948,Mel-20_HLA-II,24131,5377,9143,0,0.0,0
20141225_QEp7_MiBa_SA_HLA-II-p_MMf_12,Mel-35_HLA-II,19782,11442,18380,210,1.14,131
